name,mass,distance
HD 105779 b,203.41018,55.2411000
HD 106252 b,3178.28407,38.1850000
HD 106270 b,3219.61790,93.8080000
HD 106315 b,12.60000,109.3530000
HD 106315 c,15.20000,109.3530000
HD 10647 b,298.75000,17.3357000
HD 106515 A b,3518.96545,34.0915000
HD 106906 b,3496.00000,103.0290000
HD 10697 b,1914.58848,33.1205000
HD 107148 b,66.74100,49.4156000
HD 107148 c,19.89606,49.4156000
HD 108147 b,82.95000,38.9200000
HD 108236 b,3.24000,64.5978000
HD 108236 c,4.94000,64.5978000
HD 108236 d,6.98000,64.5978000
HD 108236 e,9.71000,64.5978000
HD 108236 f,4.72000,64.5978000
HD 108341 b,1112.40000,48.9102000
HD 108863 b,767.24162,164.7420000
HD 108874 b,451.31860,59.5175000
HD 108874 c,314.64000,59.5175000
HD 109246 b,273.33380,67.8349000
HD 109271 b,17.16200,55.8716000
HD 109271 c,24.15400,55.8716000
HD 109286 b,950.30694,55.4156000
HD 109749 b,85.81410,63.0821000
HD 10975 b,143.02278,116.5060000
HD 109833 b,8.69000,79.5561000
HD 109833 c,7.22000,79.5561000
HD 109988 b,6725.39378,42.5279000
HD 110014 b,3524.59000,100.7580000
HD 110082 b,10.30000,105.0960000
HD 110113 b,4.55000,106.3070000
HD 110113 c,10.50000,106.3070000
HD 110537 b,8644.78715,45.0858000
HD 11112 b,2428.48595,44.3804000
HD 111232 b,2626.80240,28.9571000
HD 111232 c,6085.55500,28.9571000
HD 111591 b,1398.45200,114.1660000
HD 111998 b,1433.41330,33.2237000
HD 112640 b,1589.15000,323.3350000
HD 113337 b,1032.00909,36.1800000
HD 113337 c,6268.96682,36.1800000
HD 11343 c,253.39075,155.1210000
HD 113538 b,114.41000,16.2817000
HD 113538 c,295.57000,16.2817000
HD 113996 b,2002.32900,116.3340000
HD 114082 b,2542.62726,95.3906000
HD 114386 b,362.32620,27.9243000
HD 114613 b,113.46531,20.2836000
HD 114729 b,262.20975,37.8063000
HD 114783 b,349.60000,21.0628000
HD 114783 c,194.19413,21.0628000
HD 11505 b,2649.58135,38.9679000
HD 11506 b,1716.82279,51.2610000
HD 11506 c,115.84733,51.2610000
HD 11506 d,2446.83592,51.2610000
HD 115404 A b,30.03873,10.9816000
HD 115404 A c,3299.58202,10.9816000
HD 115954 b,2634.79749,87.6437000
HD 116029 b,444.96200,123.2450000
HD 116029 c,403.64410,123.2450000
HD 117207 b,612.14058,32.3547000
HD 11755 b,1789.38290,235.0450000
HD 117618 b,55.30242,37.7781000
HD 118203 b,886.74570,92.2589000
HD 11964 b,198.00000,33.5369000
HD 11964 c,25.00000,33.5369000
HD 11977 b,2080.00000,67.9331000
HD 120084 b,2439.44256,103.0440000
HD 121504 b,479.92330,41.6592000
HD 12235 b,10.33369,31.7627000
HD 12235 c,3171.50491,31.7627000
HD 122562 c,72.85079,53.2528000
HD 124330 b,238.37131,60.1977000
HD 12484 b,947.13340,48.3367000
HD 125271 b,3514.14627,39.3466000
HD 125390 b,9165.50580,153.6470000
HD 125595 b,6.35660,28.1989000
HD 125612 b,944.27564,57.6207000
HD 125612 c,15.17685,57.6207000
HD 125612 d,2352.38976,57.6207000
HD 12648 b,622.94680,182.1920000
HD 126525 b,75.32571,37.6506000
HD 12661 b,772.32690,37.8478000
HD 12661 c,575.88400,37.8478000
HD 126614 b,119.96298,73.0961000
HD 127506 b,26.61699,22.5279000
HD 128311 b,562.24127,16.3292000
HD 128311 c,1204.25787,16.3292000
HD 128356 b,282.86870,26.1548000
HD 129445 b,508.50700,67.4386000
HD 130322 b,365.49000,31.8766000
HD 131496 b,572.09400,131.8490000
HD 13167 b,1052.01730,148.9340000
HD 13189 b,3480.23850,497.8230000
HD 132406 b,1709.92540,70.7832000
HD 132563 b,473.54700,105.1550000
HD 133131 A b,451.31860,51.4736000
HD 133131 A c,133.48860,51.4736000
HD 133131 B b,794.57500,51.2993000
HD 134060 b,10.10000,24.0125000
HD 134060 c,29.29000,24.0125000
HD 134987 b,511.70630,26.1804000
HD 134987 c,260.00000,26.1804000
HD 135872 b,1880.61597,82.4251000
HD 136118 b,4174.77030,51.4359000
HD 136352 b,4.72000,14.6820000
HD 136352 c,11.24000,14.6820000
HD 136352 d,8.82000,14.6820000
HD 136418 b,680.15620,105.1680000
HD 136925 b,266.97586,47.8740000
HD 13724 c,51.25631,43.4650000
HD 137388 b,63.56600,40.4841000
HD 137496 b,4.04000,155.3170000
HD 137496 c,2434.56560,155.3170000
HD 13808 b,11.20000,28.2305000
HD 13808 c,9.96000,28.2305000
HD 13908 b,274.91000,79.5515000
HD 13908 c,1630.40000,79.5515000
HD 13931 b,699.22600,47.3963000
HD 139357 b,6315.52561,112.0900000
HD 1397 b,131.89945,79.5702000
HD 14067 b,5001.77608,142.0240000
HD 140901 b,14.64775,15.2528000
HD 140901 c,1685.33019,15.2528000
HD 141004 b,13.63484,11.8148000
HD 141399 b,143.34133,37.0169000
HD 141399 c,422.71390,37.0169000
HD 141399 d,375.03940,37.0169000
HD 141399 e,209.76780,37.0169000
HD 141937 b,3079.77270,33.3622000
HD 142 A d,81.62789,26.1853000
HD 142 b,395.51812,26.1853000
HD 142 c,3521.33769,26.1853000
HD 142022 A b,1411.16520,34.2802000
HD 142245 b,975.73810,97.2305000
HD 142415 b,530.77610,35.5318000
HD 143105 b,384.57430,46.7789000
HD 143361 b,1122.57556,68.5146000
HD 144899 b,20.42286,115.6650000
HD 145377 b,1913.33660,53.4884000
HD 145457 b,708.76090,135.2920000
HD 145675 c,1582.94652,17.9323000
HD 145934 b,762.59821,227.8810000
HD 1461 b,6.44000,23.4534000
HD 1461 c,5.59000,23.4534000
HD 147018 b,674.00000,40.4256000
HD 147018 c,2080.00000,40.4256000
HD 147379 b,28.55000,10.7643000
HD 147513 b,385.00000,12.9032000
